open,high,low,close,volume,marketCap,CirculatingSupply,SupplyGrowthRate,timestamp
0.105893001,0.109012999,0.099265501,0.105137996,200395,10513800,100000003.8,-1.02E-06,2017-07-26 23:59:59.999000+00:00
0.105108,0.108479001,0.100887999,0.107736997,344499,10773700,100000002.8,-1.02E-06,2017-07-27 23:59:59.999000+00:00
0.107632004,0.109018996,0.101473004,0.104066998,342568,10406700,100000001.9,-8.63E-07,2017-07-28 23:59:59.999000+00:00
0.104782,0.111263998,0.101108,0.107810997,340218,10781100,100000002.8,8.61E-07,2017-07-29 23:59:59.999000+00:00
0.107934997,0.108138003,0.103161998,0.106413998,224261,10641400,100000001.9,-9.03E-07,2017-07-30 23:59:59.999000+00:00
0.106827997,0.108349003,0.101599999,0.104249999,240309,10425000,100000001,-9.20E-07,2017-07-31 23:59:59.999000+00:00
0.104594998,0.106265999,0.096109398,0.0998668,300413,9986680,100000000,-9.59E-07,2017-08-01 23:59:59.999000+00:00
0.099721201,0.101210997,0.0973612,0.100451998,256793,10045200,100000002,1.99E-06,2017-08-02 23:59:59.999000+00:00
0.100327998,0.106977999,0.099119701,0.106642,293008,10664200,100000000,-1.99E-06,2017-08-03 23:59:59.999000+00:00
0.106684998,0.107755996,0.102698997,0.107493997,287621,10749400,100000002.8,2.79E-06,2017-08-04 23:59:59.999000+00:00
0.107418001,0.144653007,0.107069999,0.128870994,542878,12887100,100000004.7,1.86E-06,2017-08-05 23:59:59.999000+00:00
0.129292995,0.132988006,0.127379999,0.130998999,393681,13099900,100000000.8,-3.89E-06,2017-08-06 23:59:59.999000+00:00
0.133957997,0.149765,0.133300006,0.148847997,748177,14884800,100000002,1.25E-06,2017-08-07 23:59:59.999000+00:00
0.148998007,0.226925001,0.147765994,0.224420995,2617340,22442100,100000002.2,2.12E-07,2017-08-08 23:59:59.999000+00:00
0.224748001,0.260625005,0.222158,0.242911995,3075320,24291200,100000002.1,-1.70E-07,2017-08-09 23:59:59.999000+00:00
0.251827002,0.349976003,0.245051995,0.349079013,4118070,34907900,99999996.28,-5.78E-06,2017-08-10 23:59:59.999000+00:00
0.348785013,0.409653992,0.311066985,0.392571986,4413920,39257200,100000003.6,7.29E-06,2017-08-11 23:59:59.999000+00:00
0.39219299,0.475991994,0.337588996,0.446364999,5080760,44636500,100000000.2,-3.34E-06,2017-08-12 23:59:59.999000+00:00
0.445989996,1.02263999,0.445989996,0.876828015,13852100,87682800,99999998.29,-1.93E-06,2017-08-13 23:59:59.999000+00:00
0.87291801,1.463389993,0.735764027,1.295570016,51698100,129557000,99999998.77,4.76E-07,2017-08-14 23:59:59.999000+00:00
1.327090025,1.378919959,0.923371971,1.056550026,19824400,105655000,99999997.54,-1.23E-06,2017-08-15 23:59:59.999000+00:00
1.119689941,1.452720046,1.078690052,1.437240005,31363100,143724000,99999999.65,2.11E-06,2017-08-16 23:59:59.999000+00:00
1.436969996,2.111310005,1.323639989,1.967149973,61296500,196715000,100000001.4,1.72E-06,2017-08-17 23:59:59.999000+00:00
1.925189972,2.754120112,1.89470005,2.384000063,69048000,238400000,99999997.36,-4.02E-06,2017-08-18 23:59:59.999000+00:00
2.334399939,2.334399939,1.819939971,2.093369961,43391300,209337000,100000001.9,4.51E-06,2017-08-19 23:59:59.999000+00:00
2.108210087,2.689440012,2.075819969,2.502579927,65350400,250258000,100000002.9,1.05E-06,2017-08-20 23:59:59.999000+00:00
2.430749893,2.90892005,2.430749893,2.701109886,72000600,270111000,100000004.2,1.30E-06,2017-08-21 23:59:59.999000+00:00
2.724450111,2.724450111,2.224790096,2.485270023,52091300,248527000,99999999.07,-5.15E-06,2017-08-22 23:59:59.999000+00:00
2.473969936,2.955450058,2.473969936,2.580430031,64925100,258043000,99999998.8,-2.76E-07,2017-08-23 23:59:59.999000+00:00
2.627360106,2.663969994,2.283380032,2.379319906,45080400,237932000,100000004,5.15E-06,2017-08-24 23:59:59.999000+00:00
2.390569925,2.729969978,2.390569925,2.496870041,49977600,249687000,99999998.36,-5.59E-06,2017-08-25 23:59:59.999000+00:00
2.530380011,2.538840056,1.960559964,2.169359922,26690700,216936000,100000003.6,5.24E-06,2017-08-26 23:59:59.999000+00:00
2.179970026,2.313549995,1.858019948,2.005189896,17214900,200519000,100000005.2,1.59E-06,2017-08-27 23:59:59.999000+00:00
2.021490097,2.167429924,1.962800026,2.042900085,15413900,204290000,99999995.84,-9.35E-06,2017-08-28 23:59:59.999000+00:00
2.106250048,2.327579975,1.989730001,2.327579975,20372000,232758000,100000001.1,5.23E-06,2017-08-29 23:59:59.999000+00:00
2.281939983,2.365350008,2.094559908,2.350049973,24830000,235005000,100000001.1,7.48E-08,2017-08-30 23:59:59.999000+00:00
