open,high,low,close,volume,marketCap,CirculatingSupply,SupplyGrowthRate,timestamp
2.793760061,2.798810005,0.714725018,0.753324986,674188,45486894.24,60381502.12,0.041256012,2015-08-08 23:59:59.999000+00:00
0.706135988,0.879809976,0.629190981,0.701897025,532170,42399573.5,60407113.85,0.042416515,2015-08-09 23:59:59.999000+00:00
0.713989019,0.729853988,0.636546016,0.708447993,405283,42818364.39,60439672.09,0.053898024,2015-08-10 23:59:59.999000+00:00
0.708087027,1.131410003,0.663235009,1.067860007,1463100,64569288.43,60466061.1,0.043661736,2015-08-11 23:59:59.999000+00:00
1.058750033,1.28994,0.883607984,1.217440009,2150620,73645010.99,60491696.06,0.042395609,2015-08-12 23:59:59.999000+00:00
1.222239971,1.965070009,1.171990037,1.827669978,4068680,110607191.7,60518142.24,0.043718706,2015-08-13 23:59:59.999000+00:00
1.81092,2.261879921,1.754750013,1.827870011,4637030,110672321.8,60547151.13,0.047934199,2015-08-14 23:59:59.999000+00:00
1.802889943,1.877239943,1.570979953,1.688899994,2554360,102303608.5,60574106.73,0.044520023,2015-08-15 23:59:59.999000+00:00
1.684350014,1.695240021,1.089810014,1.566030026,3550790,94901005.35,60599735.49,0.04230976,2015-08-16 23:59:59.999000+00:00
1.58118999,1.58118999,1.185340047,1.203609943,1942830,87295366.5,72527953.93,19.68361469,2015-08-17 23:59:59.999000+00:00
1.215299964,1.331159949,1.087049961,1.087049961,1485680,78868413.08,72552703.1,0.03412363,2015-08-18 23:59:59.999000+00:00
1.16692996,1.317989945,1.16692996,1.258859992,1486240,91366391.44,72578675.96,0.035798607,2015-08-19 23:59:59.999000+00:00
1.251180053,1.533300042,1.248329997,1.464920044,2843760,106351420.2,72598788.33,0.027711131,2015-08-20 23:59:59.999000+00:00
1.477519989,1.556419969,1.352800012,1.395290017,2020970,101331855.6,72624224.62,0.035036787,2015-08-21 23:59:59.999000+00:00
1.396289945,1.476410031,1.352679968,1.379230022,948310,100201825.7,72650554.37,0.036254779,2015-08-22 23:59:59.999000+00:00
1.375,1.409700036,1.297770023,1.352589965,1589300,98300351.35,72675647.38,0.03453933,2015-08-23 23:59:59.999000+00:00
1.345589995,1.362779975,1.231269956,1.231269956,924920,89515256.55,72701568.1,0.035666297,2015-08-24 23:59:59.999000+00:00
1.228610039,1.241819978,1.12864995,1.140190005,1307180,82922632.91,72727030.18,0.035022751,2015-08-25 23:59:59.999000+00:00
1.132789969,1.202479959,1.061830044,1.159980059,1056750,84390923.54,72752046.8,0.034397961,2015-08-26 23:59:59.999000+00:00
1.169810057,1.188830018,1.137290001,1.147699952,686662,83524585.39,72775628.55,0.03241386,2015-08-27 23:59:59.999000+00:00
1.147660017,1.207790017,1.120499969,1.191380024,721872,86731076.64,72798834.04,0.031886345,2015-08-28 23:59:59.999000+00:00
1.193529964,1.207209945,1.149489999,1.182549954,375377,86113894.69,72820513.33,0.02977973,2015-08-29 23:59:59.999000+00:00
1.182989955,1.367990017,1.170609951,1.319270015,1337650,96097349.11,72841304.67,0.028551492,2015-08-30 23:59:59.999000+00:00
1.321380019,1.396149993,1.201009989,1.358240008,1447180,98963974.9,72861920.07,0.028301795,2015-08-31 23:59:59.999000+00:00
1.353479981,1.392740011,1.336629987,1.351609945,778862,98507500.05,72881603.46,0.027014651,2015-09-01 23:59:59.999000+00:00
1.35157001,1.354910016,1.264619947,1.29479003,883769,94389544.25,72899498.81,0.024553994,2015-09-02 23:59:59.999000+00:00
1.295189977,1.309990048,1.211030006,1.26493001,702991,92234142.48,72916399.92,0.023184125,2015-09-03 23:59:59.999000+00:00
