Month, Searches in Billion ,ETH,BTC,BNB
2010-07,83,0.415,0.415,0
2010-08,83.5,0.4175,0.4175,0
2010-09,84,0.42,0.42,0
2010-10,84.5,0.4225,0.4225,0
2010-11,85,0.425,0.425,0
2010-12,85.5,0.4275,0.4275,0
2011-01,86,0.43,0.43,0
2011-02,86.5,0.4325,0.4325,0
2011-03,87.5,0.4375,0.4375,0
2011-04,88.5,0.4425,0.4425,0
2011-05,89.5,0.4475,0.895,0
2011-06,90.5,0.4525,2.715,0
2011-07,91.5,0.4575,0.915,0
2011-08,92.5,0.4625,0.925,0
2011-09,93.5,0.4675,0.935,0
2011-10,95,0.475,0.95,0
2011-11,96.5,0.4825,0.965,0
2011-12,98,0.49,0.98,0
2012-01,99,0.495,0.99,0
2012-02,100,0.5,1,0
2012-03,100.5,0.5025,1.005,0
2012-04,101,0.505,1.01,0
2012-05,101.5,0.5075,1.015,0
2012-06,102,0.51,1.02,0
2012-07,102.5,0.5125,1.025,0
2012-08,103,0.515,1.03,0
2012-09,103.5,0.5175,1.035,0
2012-10,104.5,0.5225,1.045,0
2012-11,105.5,0.5275,1.055,0
2012-12,106.5,0.5325,1.065,0
2013-01,107.5,0.5375,1.075,0
2013-02,108,0.54,1.08,0
2013-03,109,0.545,3.27,0
2013-04,110,0.55,7.7,0
2013-05,111,0.555,3.33,0
2013-06,112,0.56,2.24,0
2013-07,113,0.565,2.26,0
2013-08,114.5,0.5725,3.435,0
2013-09,116,0.58,2.32,0
2013-10,117.5,0.5875,3.525,0
2013-11,119,0.595,11.9,0
2013-12,120.5,0.6025,14.46,0
2014-01,122,0.61,9.76,0
2014-02,123,0.615,11.07,0
2014-03,124.5,0.6225,7.47,0
2014-04,126,0.63,5.04,0
2014-05,127.5,0.6375,3.825,0
2014-06,129,0.645,3.87,0
2014-07,130.5,0.6525,3.915,0
2014-08,132,0.66,3.96,0
2014-09,134,0.67,4.02,0
2014-10,136,0.68,4.08,0
2014-11,138,0.69,4.14,0
2014-12,140,0.7,4.2,0
2015-01,142,0.71,4.26,0
2015-02,143.5,0.7175,4.305,0
2015-03,145.5,0.7275,4.365,0
2015-04,147.5,0.7375,4.425,0
2015-05,149.5,0.7475,4.485,0
2015-06,151.5,0.7575,4.545,0
2015-07,153.5,0.7675,4.605,0
2015-08,155.5,0.7775,4.665,0
2015-09,158,0.79,4.74,0
2015-10,160.5,0.8025,4.815,0
2015-11,163,0.815,6.52,0
2015-12,165.5,0.8275,6.62,0
2016-01,168,0.84,6.72,0
2016-02,170,0.85,6.8,0
2016-03,172.5,0.8625,5.175,0
2016-04,175,0.875,5.25,0
2016-05,177.5,0.8875,7.1,0
2016-06,180,0.9,10.8,0
2016-07,182.5,0.9125,7.3,0
2016-08,185,0.925,7.4,0
2016-09,188,0.94,7.52,0
2016-10,191,0.955,7.64,0
2016-11,194,0.97,7.76,0
2016-12,197,0.985,9.85,0
2017-01,200,1,14,0
2017-02,202,1.01,12.12,0
2017-03,205,2.05,16.4,0
2017-04,208,2.08,12.48,0
2017-05,211,4.22,33.76,0
2017-06,214,10.7,34.24,1.07
2017-07,217,6.51,30.38,1.085
2017-08,220,6.6,48.4,1.1
2017-09,223.5,4.47,46.935,1.1175
2017-10,227,4.54,47.67,1.135
2017-11,230.5,9.22,87.59,1.1525
2017-12,234,16.38,234,9.36
2018-01,237.5,14.25,133,14.25
2018-02,240,7.2,93.6,4.8
2018-03,243.5,4.87,56.005,2.435
2018-04,247,2.47,44.46,2.47
2018-05,250.5,2.505,37.575,2.505
2018-06,254,2.54,33.02,2.54
2018-07,257.5,2.575,33.475,2.575
2018-08,261,2.61,33.93,1.305
2018-09,265,2.65,34.45,2.65
2018-10,269,2.69,26.9,1.345
2018-11,273,2.73,38.22,1.365
2018-12,277,2.77,38.78,1.385
2019-01,281,2.81,30.91,1.405
2019-02,284,2.84,28.4,1.42
2019-03,288,2.88,25.92,1.44
2019-04,292,2.92,37.96,2.92
2019-05,296,2.96,53.28,2.96
2019-06,300,3,63,3
2019-07,304,3.04,60.8,3.04
2019-08,308,3.08,70.84,24.64
2019-09,312.5,3.125,215.625,193.75
2019-10,317,3.17,41.21,1.585
2019-11,321.5,1.6075,35.365,1.6075
2019-12,326,3.26,35.86,1.63
2020-01,330.5,3.305,42.965,1.6525
2020-02,334,3.34,46.76,3.34
2020-03,338.5,3.385,67.7,3.385
2020-04,343,3.43,54.88,3.43
2020-05,347.5,3.475,69.5,3.475
2020-06,352,3.52,52.8,3.52
2020-07,356.5,3.565,49.91,3.565
2020-08,361,7.22,61.37,3.61
2020-09,366,3.66,47.58,3.66
2020-10,371,3.71,51.94,3.71
2020-11,376,7.52,90.24,3.76
2020-12,381,7.62,121.92,3.81
2021-01,386,30.88,250.9,11.58
2021-02,390,35.1,261.3,27.3
2021-03,395,23.7,197.5,23.7
2021-04,400,32,208,44
2021-05,405,68.85,267.3,48.6
2021-06,410,28.7,200.9,20.5
2021-07,415,20.75,145.25,16.6
2021-08,420,29.4,142.8,25.2
2021-09,425.5,25.53,136.16,25.53
2021-10,431,30.17,168.09,34.48
2021-11,436.5,34.92,157.14,39.285
2021-12,442,30.94,159.12,30.94
2022-01,447.5,31.325,205.85,35.8
2022-02,451,27.06,175.89,31.57
2022-03,456.5,22.825,150.645,27.39
2022-04,462,18.48,120.12,27.72
2022-05,467.5,23.375,177.65,32.725
2022-06,473,23.65,208.12,18.92
